hotel,price,score,avg review,reviews count,address,availability
Vincci Gala,US$1.004,"Puntuación: 8,6
8,6",Fabuloso,3.576,"Eixample, Barcelona","Habitación Doble - 1 o 2 camas
Camas: 1 doble o 2 individuales
Cancelación gratis
4 noches, 1 adulto
US$1.674US$1.004
Precio original US$1.674. Precio actual US$1.004.
+ US$27 de impuestos y cargos
Ver disponibilidad"
Sercotel Amister Art Hotel Barcelona,US$643,"Puntuación: 8,2
8,2",Muy bien,2.481,"Eixample, Barcelona","Habitación con cama extragrande.
1 cama doble extragrande
Solo quedan 5 habitaciones a este precio en nuestra web
4 noches, 1 adulto
US$804US$643
Precio original US$804. Precio actual US$643.
+ US$27 de impuestos y cargos
Ver disponibilidad"
Yeah Barcelona Hostel,US$135,"Puntuación: 9,0
9,0",Fantástico,8.717,"Eixample, Barcelona","Cama en habitación compartida mixta de 6 camas
Cama en habitación compartida
1 litera
Cancelación gratis
4 noches, 1 adulto
US$135
Precio US$135
+ US$24 de impuestos y cargos
Ver disponibilidad"
Sonder Los Arcos,US$695,"Puntuación: 8,3
8,3",Muy bien,278,"Ciutat Vella, Barcelona","Habitación con cama extragrande.
1 cama doble extragrande
Solo queda 1 habitación a este precio en nuestra web
4 noches, 1 adulto
US$695
Precio US$695
+ US$22 de impuestos y cargos
Ver disponibilidad"
360 Hostel Borne,US$122,"Puntuación: 8,3
8,3",Muy bien,2.940,"Eixample, Barcelona","Cama individual en habitación compartida con 8 camas
Cama en habitación compartida
1 litera
4 noches, 1 adulto
US$122
Precio US$122
+ US$24 de impuestos y cargos
Ver disponibilidad"
Unite Hostel Barcelona,US$109,"Puntuación: 8,1
8,1",Muy bien,8.115,"Sant Martí, Barcelona","Cama en habitación compartida de 8 camas
Cama en habitación compartida
1 litera
Cancelación gratis
4 noches, 1 adulto
US$109
Precio US$109
+ US$24 de impuestos y cargos
Ver disponibilidad"
Diagonal House Hostel,US$100,"Puntuación: 6,9
6,9",Puntuación,1.622,"Eixample, Barcelona","Cama individual en dormitorio mixto compartido (10 adultos)
Cama en habitación compartida
1 litera
Cancelación gratis
Sin pago por adelantado - Pagarás en el alojamiento
Solo quedan 6 camas a este precio en nuestra web
4 noches, 1 adulto
US$100
Precio US$100
+ US$24 de impuestos y cargos
Ver disponibilidad"
Safestay Barcelona Passeig de Gràcia,US$68,"Puntuación: 7,2
7,2",Bien,4.822,"Eixample, Barcelona","Cama en habitación compartida mixta con baño - 12 camas
Cama en habitación compartida
1 litera
4 noches, 1 adulto
US$68
Precio US$68
+ US$24 de impuestos y cargos
Ver disponibilidad"
Ten To Go Hostel,US$78,"Puntuación: 8,9
8,9",Fabuloso,3.943,"Sants-Montjuïc, Barcelona","Cama Individual en dormitorio compartido mixto con 14 camas
Cama en habitación compartida
1 litera
4 noches, 1 adulto
US$78
Precio US$78
+ US$24 de impuestos y cargos
Ver disponibilidad"
Hostal Centric,US$518,"Puntuación: 8,8
8,8",Fabuloso,3.694,"Eixample, Barcelona","Habitación Individual
1 cama individual
Cancelación gratis
Sin pago por adelantado - Pagarás en el alojamiento
Solo queda 1 habitación a este precio en nuestra web
4 noches, 1 adulto
US$575US$518
Precio original US$575. Precio actual US$518.
+ US$24 de impuestos y cargos
Ver disponibilidad"
Alberg Pere Tarrés,US$100,"Puntuación: 7,5
7,5",Bien,2.997,"Les Corts, Barcelona","Cama individual en un dormitorio compartido masculino de 8 camas
Cama en habitación compartida
1 litera
Desayuno incluido
4 noches, 1 adulto
US$100
Precio US$100
+ US$24 de impuestos y cargos
Ver disponibilidad"
